"track_name","track_artist","track_popularity","track_album_name","track_album_release_date","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms"
"say my name (feat. bebe rexha & j balvin) - lucas & steve remix","david guetta",65,"say my name (feat. bebe rexha & j balvin) [lucas & steve remix]",2018-12-28,0.678,0.747,10,-5.289,0,0.165,0.0395,0,0.174,0.516,120.002,189375
"dancing with a stranger (with normani) - cheat codes remix","sam smith",69,"dancing with a stranger (with normani) [cheat codes remix]",2019-03-08,0.746,0.557,1,-6.722,1,0.0542,0.103,0.0036,0.138,0.324,111.961,159404
"let it be me - sondr remix","steve aoki",35,"let it be me (remixes)",2019-10-18,0.467,0.821,7,-5.466,1,0.0934,0.00791,0.000441,0.131,0.232,122.676,185366
"heaven - david guetta & morten remix","avicii",70,"heaven (david guetta & morten remix)",2019-08-23,0.572,0.934,6,-5.053,0,0.0446,0.00292,0.0198,0.105,0.204,125.948,215238
"all around the world (la la la) - marnik remix","r3hab",64,"all around the world (la la la) [marnik remix]",2019-08-23,0.708,0.913,9,-4.329,0,0.0348,0.089,0.081,0.113,0.707,135.016,170667
"don't leave me alone (feat. anne-marie) - edx's indian summer remix","david guetta",62,"don't leave me alone (feat. anne-marie) [edx's indian summer remix]",2019-05-08,0.684,0.818,4,-4.477,0,0.128,0.0469,3.39e-06,0.119,0.336,123.938,210968
"slow dance (feat. ava max) - sam feldt remix","aj mitchell",70,"slow dance (feat. ava max) [sam feldt remix]",2019-10-25,0.732,0.85,1,-5.999,1,0.0444,0.114,2.02e-06,0.0388,0.372,124.024,193548
"do you mean (feat. ty dolla $ign & bülow) - myon remix","the chainsmokers",58,"do you mean - the remixes (feat. ty dolla $ign & bülow)",2019-05-24,0.62,0.889,11,-3.785,1,0.0352,0.0163,1.86e-05,0.395,0.422,110.018,205093
"hold me while you wait - steve void remix","lewis capaldi",63,"hold me while you wait (steve void remix)",2019-06-21,0.675,0.76,11,-7.037,1,0.0434,0.104,0,0.33,0.468,124.933,172800
"one thing right - firebeatz remix","marshmello",66,"one thing right (remixes)",2019-08-09,0.682,0.851,1,-7.117,0,0.0363,0.0146,0.000834,0.0289,0.348,126,192381
"close to me (with diplo) (feat. swae lee) - cid remix","ellie goulding",8,"close to me (remixes)",2019-02-01,0.663,0.905,1,-3.781,0,0.0511,0.0325,0,0.333,0.397,125.996,175000
"so am i - toby green remix","ava max",62,"so am i (toby green remix)",2019-05-23,0.625,0.938,6,-3.983,1,0.0517,0.00432,0.00026,0.0923,0.371,127.997,166875
"when you leave - breathe carolina remix","nikki vianna",30,"when you leave (breathe carolina remix)",2019-04-19,0.679,0.909,1,-2.929,1,0.105,0.0334,0,0.269,0.819,119.885,155080
"mother - fedde le grand remix","charlie puth",56,"mother (fedde le grand remix)",2019-11-01,0.641,0.869,11,-4.754,1,0.0423,0.0319,0.00131,0.403,0.358,128.091,178125
"signs - eden prince remix","starley",56,"signs (eden prince remix)",2018-11-30,0.702,0.814,0,-7.51,0,0.0841,0.107,3.03e-05,0.374,0.503,121.993,172000
"ruin my life - steve james remix","zara larsson",58,"ruin my life (remixes)",2018-11-23,0.723,0.837,11,-6.487,1,0.0389,0.0103,0.000477,0.0834,0.643,123.952,177097
"torn - kream remix","ava max",60,"torn (kream remix)",2019-09-05,0.742,0.864,0,-5.06,1,0.0976,0.00141,0.00467,0.241,0.727,125.032,169935
"quite miss home - steve void remix","james arthur",60,"quite miss home (steve void remix)",2019-11-22,0.716,0.815,10,-4.121,1,0.0533,0.108,0,0.163,0.351,124.975,220413
"love me less (feat. quinn xcii) - party pupils remix","max",55,"love me less (remixes)",2019-06-21,0.748,0.831,1,-5.029,1,0.115,0.0823,7.36e-05,0.0757,0.894,128.024,185273
"happier - matt medved remix","marshmello",59,"happier (remixes pt. 2)",2018-11-30,0.816,0.833,5,-5.972,1,0.0511,0.126,9.09e-06,0.0625,0.793,122.032,170164
"side effects - fedde le grand remix","the chainsmokers",63,"side effects - remixes",2018-07-25,0.633,0.854,0,-4.046,0,0.0432,0.0382,2.83e-05,0.434,0.659,126.026,172360
"good things fall apart (with jon bellion) [tiësto's big room remix]","illenium",67,"good things fall apart (with jon bellion) [tiësto's big room remix]",2019-07-12,0.563,0.81,2,-2.921,1,0.0522,0.00522,0,0.0846,0.495,129.975,247385
"paradise - bazzi vs. black caviar remix","bazzi vs.",55,"paradise (bazzi vs. black caviar remix)",2019-06-27,0.728,0.815,11,-2.878,0,0.046,0.00223,0.000317,0.101,0.681,124.019,218015
"white mercedes - edx's miami sunset remix","charli xcx",56,"white mercedes (edx's miami sunset remix)",2019-10-25,0.846,0.773,5,-3.503,1,0.0473,0.0141,2.23e-05,0.204,0.586,124.008,200444
"higher love","kygo",87,"higher love",2019-06-28,0.693,0.678,8,-7.159,1,0.0324,0.0154,6.05e-06,0.101,0.404,103.952,228267
"unlove you","armin van buuren",62,"unlove you",2019-10-18,0.678,0.928,3,-3.66,0,0.0597,0.0303,3.33e-05,0.143,0.663,116.892,150160
"bad guy (with justin bieber)","billie eilish",83,"bad guy (with justin bieber)",2019-07-11,0.67,0.453,0,-11.265,1,0.295,0.252,0.33,0.117,0.68,135.055,194840
"freaking me out - keanu silva remix","ava max",55,"freaking me out (keanu silva remix)",2019-11-01,0.755,0.931,1,-4.104,0,0.0606,0.132,0.0271,0.0854,0.288,122.041,177466
"heaven can wait - the aston shuffle remix","sia",61,"heaven can wait (the aston shuffle remix)",2019-05-24,0.622,0.859,5,-7.626,1,0.0636,0.000609,0.746,0.0909,0.442,121.968,218373
"when it comes to you - benny benassi & bb team remix","sean paul",56,"when it comes to you (remixes)",2019-10-25,0.789,0.893,10,-4.364,0,0.168,0.0538,0,0.221,0.41,121.956,144073
"gone - the wild remix","charli xcx",57,"gone (the wild remix)",2019-08-09,0.64,0.838,6,-4.203,1,0.0416,0.0588,1.99e-05,0.0424,0.587,124.081,193861
"american boy - brooks remix","estelle",56,"american boy (brooks remix)",2019-06-14,0.609,0.764,5,-4.564,0,0.111,0.0994,0,0.197,0.531,128.082,200625
"million pieces - m-22 remix","bastille",53,"million pieces (m-22 remix)",2019-09-27,0.64,0.992,4,-3.318,0,0.0585,0.0832,0.0083,0.109,0.479,123.951,166237
"joy. (r3hab remix)","for king & country",56,"joy. (r3hab remix)",2019-01-25,0.75,0.81,0,-4.607,0,0.0572,0.0917,1.59e-05,0.111,0.48,120.038,171500
"crash into me - settle down steavis aoki remix","steve aoki",34,"crash into me (settle down steavis aoki remix)",2019-11-12,0.535,0.956,1,-2.996,0,0.0343,0.000609,0.0109,0.262,0.12,127.984,266719
"old town road - diplo remix","lil nas x",74,"old town road (diplo remix)",2019-04-29,0.766,0.771,6,-9.108,1,0.0576,0.00407,3.76e-06,0.113,0.297,140.036,204027
"lovers + strangers - gattÜso remix","starley",46,"lovers + strangers (gattÜso remix)",2019-11-15,0.649,0.821,10,-4.952,0,0.0472,0.017,0.000347,0.0655,0.394,125.977,203968
"promises (with sam smith) - david guetta remix","calvin harris",63,"promises (with sam smith) [remixes]",2018-10-19,0.588,0.697,3,-4.744,0,0.0372,0.186,0.000219,0.103,0.225,125.157,190417
"flames (with zayn) - r3hab & skytech vip remix","r3hab",55,"flames (with zayn) (r3hab & skytech vip remix)",2019-12-12,0.355,0.789,5,-4.358,0,0.165,0.0148,0,0.0355,0.169,80.444,237686
"what am i - sondr remix","why don't we",52,"what am i (sondr remix)",2019-11-01,0.542,0.84,0,-5.283,0,0.0419,0.0336,8.45e-05,0.277,0.509,118.02,180361
"cool kids","olympis",67,"cool kids",2019-11-01,0.735,0.5,8,-11.297,1,0.0511,0.415,3.12e-05,0.13,0.119,126.1,139048
"loco contigo (with j. balvin & tyga) - cedric gervais remix","dj snake",63,"loco contigo (with j. balvin & tyga) [cedric gervais remix]",2019-08-09,0.752,0.84,6,-4.451,0,0.0373,0.00486,0.0109,0.0916,0.461,124.002,279800
"all star - breathe carolina remix","smash mouth",60,"all star (breathe carolina remix)",2019-08-23,0.748,0.903,3,-5.877,0,0.0385,0.0324,0,0.106,0.751,115.018,217043
"trampoline - dave audé remix","shaed",45,"melt (deluxe)",2019-12-27,0.607,0.955,7,-3.613,0,0.102,0.0163,0.121,0.0725,0.501,125.984,230476
"stay (don't go away) [feat. raye] - mark knight remix","david guetta",58,"stay (don't go away) [feat. raye] [mark knight remix]",2019-07-11,0.607,0.995,9,-2.325,0,0.0487,0.0921,0.002,0.0445,0.664,124.998,188640
"with you - dexter remix","kaskade",51,"with you - the remixes",2019-09-12,0.679,0.786,1,-6.918,0,0.132,0.119,5.89e-06,0.224,0.47,126.092,196613
"safety (feat. dj snake) - dark heart 2am mix","gashi",58,"safety (the dark heart remixes) (feat. dj snake)",2019-11-15,0.714,0.801,5,-5.8,0,0.0301,0.0204,0.00615,0.334,0.292,124.015,210000
"beautiful (feat. camila cabello) - bazzi vs. edx's ibiza sunrise remix","bazzi vs.",56,"beautiful (feat. camila cabello) [bazzi vs. edx's ibiza sunrise remix]",2018-09-28,0.69,0.862,2,-4.154,1,0.0944,0.0611,1.85e-05,0.238,0.453,121.975,187869
"talk - disclosure vip","khalid",60,"talk (disclosure vip)",2019-03-27,0.775,0.867,4,-7.388,0,0.204,0.0158,0.0117,0.0355,0.565,128.956,273229
"spicy - majestic remix","herve pagez",48,"spicy (with diplo & charli xcx) [remixes]",2019-10-11,0.814,0.838,11,-5.547,1,0.0763,0.001,0.0223,0.0185,0.959,121.978,255861
"don't leave me lonely (feat. yebba) - claptone remix","mark ronson",56,"don't leave me lonely (feat. yebba) [claptone remix]",2019-10-04,0.784,0.779,8,-5.48,1,0.0387,0.0357,0.025,0.0245,0.459,124.994,216714
"treehouse - r3hab remix","james arthur",56,"treehouse (r3hab remix)",2019-09-13,0.367,0.783,6,-4.504,1,0.154,0.00515,0,0.0545,0.289,88.013,192653
"hearts ain't gonna lie - eden prince remix","arlissa",65,"hearts ain't gonna lie (remixes, pt. 1)",2018-02-09,0.609,0.83,6,-3.759,0,0.0793,0.201,6.18e-05,0.0321,0.604,117.833,238451
"call you mine","the chainsmokers",39,"world war joy",2019-05-31,0.591,0.702,7,-5.59,1,0.0289,0.225,0,0.414,0.501,104.003,217653
"post malone (feat. rani)","sam feldt",83,"magnets ep",2019-05-24,0.59,0.642,7,-3.87,1,0.122,0.0771,0,0.105,0.651,107.356,174444
"here with me","marshmello",83,"here with me",2019-03-08,0.791,0.565,5,-3.933,0,0.0439,0.0623,0,0.156,0.181,99.961,156347
"easier - seeb remix","5 seconds of summer",71,"easier (seeb remix)",2019-07-12,0.564,0.747,5,-3.374,1,0.0584,0.0728,0,0.151,0.717,97.878,165767
"sixteen","ellie goulding",81,"sixteen",2019-04-12,0.669,0.801,8,-5.445,1,0.136,0.268,0,0.0594,0.541,109.919,201072
"never really over","katy perry",85,"never really over",2019-05-31,0.77,0.882,8,-4.792,1,0.0602,0.194,0,0.316,0.385,99.991,223523
"all you need to know (feat. calle lehmann)","gryffin",76,"all you need to know (feat. calle lehmann)",2019-03-27,0.513,0.788,0,-4.629,1,0.0364,0.00968,0,0.11,0.234,139.987,238459
"i miss myself (with hrvy)","notd",71,"i miss myself (with hrvy)",2019-05-03,0.72,0.864,0,-3.249,1,0.208,0.0856,0,0.16,0.659,96.048,191612
"south of the border (feat. camila cabello & cardi b) - sam feldt remix","ed sheeran",65,"south of the border (feat. camila cabello & cardi b) [sam feldt remix]",2019-10-04,0.789,0.858,5,-4.388,1,0.0404,0.22,4.58e-05,0.335,0.491,110.012,173455
"takeaway (feat. lennon stella)","the chainsmokers",67,"world war joy...takeaway",2019-07-24,0.294,0.505,3,-8.106,1,0.042,0.12,0,0.0977,0.357,85.332,209893
"all the time","zara larsson",74,"all the time",2019-06-21,0.665,0.799,6,-2.868,0,0.0617,0.18,0,0.125,0.5,101.976,228112
"what i like about you (feat. theresa rex)","jonas blue",81,"what i like about you (feat. theresa rex)",2019-03-22,0.46,0.8,1,-3.584,1,0.05,0.289,6.16e-06,0.121,0.553,102.46,220396
"with you","kaskade",71,"with you",2019-06-14,0.362,0.921,1,-3.815,0,0.486,0.123,0,0.19,0.529,172.191,180840
"body back (feat. maia wright)","gryffin",75,"body back (feat. maia wright)",2019-10-18,0.686,0.83,8,-4.437,1,0.0369,0.0948,1.33e-06,0.182,0.486,123.032,214634
"not ok","kygo",73,"not ok",2019-05-23,0.618,0.66,11,-8.14,0,0.0372,0.0292,2.07e-06,0.325,0.408,105,210944
"ruin my life","zara larsson",79,"ruin my life",2018-10-18,0.665,0.699,11,-5.265,1,0.0578,0.423,0,0.0969,0.585,124.896,190932
"i wanna know (feat. bea miller)","notd",74,"i wanna know (feat. bea miller)",2018-03-16,0.661,0.725,6,-4.859,1,0.0563,0.0253,0,0.123,0.605,119.927,197939
"better with you","3lau",63,"better with you",2019-03-01,0.571,0.752,3,-4.872,1,0.0293,0.0196,6.92e-05,0.114,0.25,102.043,192941
"carry on (from the original motion picture ""pokÉmon detective pikachu"")","kygo",79,"carry on (from the original motion picture ""pokÉmon detective pikachu"")",2019-04-19,0.591,0.705,9,-6.519,0,0.079,0.381,0.000116,0.131,0.27,121.799,215316
"polaroid","jonas blue",16,"blue",2018-11-09,0.652,0.898,7,-4.481,0,0.0361,0.29,0,0.073,0.472,114.043,193377
"lost in japan - remix","shawn mendes",75,"lost in japan (remix)",2018-09-27,0.706,0.855,10,-5.377,1,0.215,0.0911,0,0.347,0.293,107.184,201253
"in your arms (with x ambassadors)","illenium",75,"ascend",2019-08-16,0.404,0.806,2,-4.75,1,0.0496,0.198,0,0.114,0.112,148.036,220730
"i'm not alright","loud luxury",55,"i'm not alright",2019-07-12,0.876,0.856,4,-3.884,1,0.0486,0.0812,1.29e-06,0.457,0.685,121.991,185062
"sos","avicii",30,"sos",2019-04-10,0.802,0.645,5,-6.181,0,0.0715,0.272,0,0.119,0.376,100.001,157202
"harder","jax jones",62,"snacks",2019-07-12,0.906,0.832,5,-3.004,0,0.0718,0.0909,0,0.152,0.751,104.03,159753
"the middle","zedd",84,"the middle",2018-01-23,0.753,0.657,7,-3.061,1,0.0449,0.171,0,0.112,0.437,107.01,184732
"wanted","notd",70,"wanted",2019-09-27,0.693,0.674,5,-4.449,1,0.0723,0.185,0,0.0639,0.378,95.972,160998
"crash into me","steve aoki",37,"crash into me",2019-07-12,0.672,0.815,1,-6.476,0,0.0981,0.00246,0,0.577,0.341,115.033,226093
"need your love (with noah kahan)","gryffin",70,"gravity",2019-10-24,0.581,0.76,0,-3.962,1,0.0406,0.16,0,0.183,0.523,104.099,205787
"good things fall apart (with jon bellion)","illenium",74,"good things fall apart (with jon bellion)",2019-05-13,0.643,0.594,2,-5.453,1,0.0318,0.0128,0,0.118,0.442,144.033,216668
"don't call me up","mabel",85,"ivy to roses (mixtape)",2019-01-18,0.674,0.881,9,-2.853,1,0.147,0.296,3.01e-06,0.0793,0.234,98.994,178480
"nostalgic","a r i z o n a",36,"nostalgic",2019-06-18,0.691,0.538,0,-9.952,1,0.103,0.246,0.163,0.178,0.329,99.972,182668
"let it be me","steve aoki",52,"let it be me",2019-09-06,0.661,0.758,7,-5.299,1,0.0864,0.0797,0,0.106,0.387,114.098,224061
"lovers + strangers","starley",58,"lovers + strangers",2019-10-11,0.653,0.69,1,-5.003,1,0.0756,0.109,0,0.136,0.652,110.214,178501
"sad song (feat. tini)","alesso",72,"sad song (feat. tini)",2019-06-14,0.734,0.693,0,-6.474,1,0.0361,0.0878,0,0.341,0.55,110.021,154024
"sleepless nights","ayokay",64,"in the shape of a dream",2018-08-31,0.663,0.696,11,-5.994,1,0.0349,0.0563,6.25e-06,0.226,0.449,139.98,197880
"save me tonight","arty",63,"save me tonight",2019-01-25,0.55,0.899,5,-3.284,0,0.0458,0.0113,9.65e-05,0.137,0.408,125.85,170079
"pretty girl - cheat codes x cade remix","maggie lindemann",77,"pretty girl (cheat codes x cade remix)",2017-03-02,0.703,0.868,7,-4.661,0,0.0291,0.15,0.132,0.104,0.733,121.03,193613
"no sleep (feat. bonn)","martin garrix",76,"no sleep (feat. bonn)",2019-02-21,0.44,0.635,11,-6.385,1,0.0326,0.129,0,0.121,0.327,128.133,207095
"feel good (feat. daya)","gryffin",74,"feel good (feat. daya)",2017-03-03,0.625,0.707,2,-4.761,1,0.0337,0.22,0,0.213,0.479,138.064,248156
"endless summer","cashae",56,"endless summer",2019-07-12,0.625,0.719,4,-5.541,1,0.0612,0.048,0,0.0668,0.326,101.091,202072
"faith (with dolly parton) [feat. mr. probz]","galantis",77,"faith (with dolly parton) [feat. mr. probz]",2019-10-25,0.547,0.795,8,-3.721,1,0.0489,0.145,0,0.11,0.723,118.118,186805
"think about you","kygo",71,"think about you",2019-02-14,0.673,0.596,10,-7.891,1,0.0354,0.166,0,0.11,0.19,123.969,208567
"party for one","carly rae jepsen",64,"dedicated",2019-05-17,0.699,0.633,6,-6.547,1,0.0362,0.0453,0,0.101,0.458,123.449,184533
"ritual","tiësto",82,"ritual",2019-05-31,0.647,0.726,3,-4.389,0,0.0552,0.157,0,0.0844,0.767,114.996,198996
"electricity (with dua lipa)","silk city",81,"electricity (with dua lipa)",2018-09-06,0.588,0.67,0,-6.439,1,0.0473,0.0104,3.33e-06,0.338,0.505,118.159,238173
"lie","shallou",41,"lie",2018-01-25,0.655,0.427,2,-11.684,0,0.0799,0.295,0.00108,0.0788,0.224,107.992,215446
"i found you (with calvin harris)","benny blanco",62,"friends keep secrets",2018-12-07,0.79,0.865,6,-4.159,1,0.0438,0.0264,0.0892,0.24,0.362,122.99,189165
"now that i found you","carly rae jepsen",5,"now that i found you / no drug like me",2019-02-27,0.611,0.737,0,-5.154,0,0.0476,0.0145,0,0.107,0.574,124.169,200318
"all comes back to you","r3hab",72,"all comes back to you",2019-10-25,0.726,0.763,4,-6.872,1,0.0882,0.524,2.64e-06,0.0943,0.516,128.02,160312
"need u","dvbbs",24,"need u",2019-08-16,0.714,0.705,10,-6.479,1,0.0995,0.292,0.000386,0.126,0.471,114.994,219521
"first love","lost kings",58,"first love",2017-10-13,0.619,0.938,5,-5.245,1,0.35,0.0257,1.39e-05,0.128,0.601,94.38,207428
"something real","armin van buuren",65,"something real",2019-07-12,0.575,0.808,1,-4.578,1,0.0439,0.0446,0,0.0693,0.232,127.922,179531
"time","alesso",64,"alesso mixtape - progresso volume 1",2019-03-08,0.768,0.808,5,-1.818,1,0.112,0.00627,5.33e-06,0.343,0.664,119.971,166000
"something about you (with rudimental)","elderbrook",53,"distinction ep",2019-08-09,0.767,0.605,6,-5.737,0,0.188,0.559,0.000363,0.193,0.657,107.042,203200
"home (feat. bonn)","martin garrix",72,"home (feat. bonn)",2019-08-16,0.466,0.612,8,-4.855,0,0.0307,0.0655,4.07e-06,0.132,0.236,128.114,239067
"simple (stvw remix)","fannypack",39,"simple (stvw remix)",2019-04-12,0.434,0.917,9,-3.613,0,0.0633,0.301,1.8e-05,0.289,0.622,121.967,147554
"sorry","joel corry",75,"sorry",2019-04-05,0.744,0.79,8,-4.617,0,0.0562,0.0547,0.000802,0.32,0.847,125.002,188640
"spicy (with diplo & charli xcx)","herve pagez",60,"spicy (with diplo & charli xcx)",2019-05-30,0.837,0.818,8,-4.474,0,0.0533,0.0527,0.00642,0.11,0.484,109.993,157159
"the upside (feat. elle king)","lindsey stirling",18,"the upside (feat. elle king) / the upside / underground",2019-08-02,0.514,0.856,2,-4.285,1,0.0717,0.00123,6.34e-06,0.544,0.351,117.014,228502
"stay","zedd",79,"stay",2017-02-23,0.69,0.622,5,-5.025,0,0.0622,0.253,0,0.116,0.544,102.04,210091
"million voices","armin van buuren",60,"balance",2019-10-25,0.466,0.869,3,-4.275,1,0.0529,0.0142,0.00241,0.115,0.185,126.113,187150
"taki taki (with selena gomez, ozuna & cardi b)","dj snake",83,"taki taki (with selena gomez, ozuna & cardi b)",2018-09-28,0.842,0.801,8,-4.167,0,0.228,0.157,4.82e-06,0.0642,0.617,95.881,212500
"closer (feat. halsey)","the chainsmokers",85,"closer (feat. halsey)",2016-07-29,0.748,0.524,8,-5.599,1,0.0338,0.414,0,0.111,0.661,95.01,244960
"say my name (feat. zyra) - rac mix","odesza",47,"say my name remixes",2014-10-13,0.647,0.624,9,-8.446,1,0.0451,0.025,0.056,0.0616,0.477,115.002,243091
"clarity","zedd",74,"clarity",2012-01-01,0.509,0.781,8,-3.48,1,0.072,0.0398,0,0.0749,0.176,128,271427
"solo (feat. demi lovato)","clean bandit",80,"solo (feat. demi lovato)",2018-05-17,0.737,0.636,11,-4.546,0,0.0437,0.0441,6.66e-05,0.35,0.565,105.005,222653
"scared to be lonely","martin garrix",81,"scared to be lonely",2017-01-27,0.584,0.54,1,-7.786,0,0.0576,0.0895,0,0.261,0.195,137.972,220883
"friends (with bloodpop®)","justin bieber",76,"friends (with bloodpop®)",2017-08-17,0.743,0.733,8,-5.337,1,0.0375,0.00402,0,0.304,0.622,104.977,189467
"ritmo (bad boys for life)","the black eyed peas",96,"ritmo (bad boys for life)",2019-10-12,0.721,0.716,10,-7.037,0,0.0657,0.0334,0.00084,0.237,0.667,104.994,221714
"promises (with sam smith)","calvin harris",84,"promises (with sam smith)",2018-08-17,0.781,0.768,11,-5.991,1,0.0394,0.0119,4.91e-06,0.325,0.486,123.07,213309
"turn me on (feat. vula)","riton",86,"turn me on (feat. vula)",2019-09-13,0.737,0.828,11,-4.711,1,0.0396,0.0149,0.000583,0.0862,0.517,124.052,208474
"light","san holo",68,"light",2017-02-10,0.57,0.763,1,-4.137,1,0.0573,0.0857,2.49e-06,0.0932,0.43,150.088,239853
"2u","david guetta",66,"2u",2017-06-09,0.551,0.651,8,-5.828,0,0.0594,0.225,0,0.224,0.562,144.875,194907
"something just like this","the chainsmokers",83,"memories...do not open",2017-04-07,0.617,0.635,11,-6.769,0,0.0317,0.0498,1.44e-05,0.164,0.446,103.019,247160
"one kiss (with dua lipa)","calvin harris",85,"one kiss (with dua lipa)",2018-04-06,0.791,0.862,9,-3.24,0,0.11,0.037,2.19e-05,0.0814,0.592,123.994,214847
"heroes (we could be)","alesso",73,"forever",2015-05-26,0.503,0.748,5,-4.124,1,0.0619,0.0305,0,0.343,0.356,125.896,210013
"it ain’t me (with selena gomez)","kygo",69,"it ain't me",2017-02-17,0.64,0.533,0,-6.596,1,0.0706,0.119,0,0.0864,0.515,99.968,220781
"let me love you (until you learn to love yourself)","ne-yo",69,"r.e.d. (deluxe edition)",2012-01-01,0.658,0.677,5,-6.628,1,0.0393,0.248,0,0.368,0.248,124.91,251627
"let me love you","dj snake",81,"encore",2016-08-05,0.649,0.716,8,-5.371,1,0.0349,0.0863,2.63e-05,0.135,0.163,99.988,205947
"roses","the chainsmokers",73,"roses",2015-06-16,0.713,0.802,4,-7.055,1,0.0561,0.0435,0.00377,0.309,0.343,100.001,226739
"stay the night - featuring hayley williams of paramore","zedd",61,"clarity (deluxe)",NA,0.596,0.738,8,-3.109,1,0.0411,0.109,0,0.0947,0.461,127.961,217347
"latch","disclosure",19,"settle",2013-01-01,0.503,0.727,1,-5.456,1,0.167,0.0159,9.45e-05,0.0895,0.521,121.985,255632
"flames","david guetta",57,"7",2018-09-14,0.609,0.726,5,-4.346,0,0.0414,0.0723,8.45e-06,0.0895,0.362,93.958,195000
"sorry","justin bieber",81,"purpose (deluxe)",2015-11-13,0.654,0.76,0,-3.669,0,0.045,0.0797,0,0.299,0.41,99.945,200787
"this is what you came for","calvin harris",79,"this is what you came for",2016-04-29,0.63,0.928,9,-2.787,0,0.0331,0.199,0.124,0.148,0.465,123.963,222160
"wake me up","avicii",84,"true",2013-01-01,0.532,0.783,2,-5.697,1,0.0523,0.0038,0.0012,0.161,0.643,124.08,247427
"in my mind","dynoro",84,"in my mind",2018-06-08,0.694,0.77,6,-5.335,1,0.149,0.176,1.1e-05,0.118,0.163,125.905,184560
"titanium (feat. sia)","david guetta",66,"nothing but the beat 2.0",2011-08-26,0.604,0.787,0,-3.674,0,0.103,0.0679,0.15,0.127,0.301,126.062,245040
"where are Ü now","skrillex",8,"purpose (deluxe)",2015-11-13,0.432,0.74,7,-5.053,1,0.062,0.0342,6.59e-06,0.14,0.193,139.42,242520
"firework","katy perry",64,"teenage dream",2010-01-01,0.638,0.832,8,-5.039,1,0.049,0.141,0,0.113,0.648,124.071,227893
